,1.1,F,F,F
,1.2,M,F,MFFM
,1.3,M,F,FM
,1.4,M,F,M
,1.5,F,F,MFM
,2.1,M,M,FMMMF
,2.2,M,M,FMF
,2.3,F,M,MFM
,2.4,M,M,M
,2.5,M,M,M
,3.1,M,M,MFMMF
,3.2,M,M,MFMM
,3.3,F,M,FMM
,3.4,M,M,FF
,3.5,F,M,MMFM
,4.1,F,M,MMF
,4.2,M,M,FMM
,4.3,M,M,FF
,4.4,M,M,F
,4.5,M,M,MMM
,5.1,F,M,FMM
,5.2,M,M,MMM
,5.3,M,M,FM
,5.4,F,M,MFFMM
,5.5,M,M,F
,6.1,M,M,MFMM
,6.2,F,M,M
,6.3,M,M,MMM
,6.4,M,M,M
,6.5,F,M,M
,6.6,M,M,MMMM
,7.1,F,M,FFFMF
,7.2,F,M,FFFMFF
,7.3,F,M,MM
,7.4,F,M,M
,7.5,F,M,MM
,8.1,M,F,FMM
,8.2,M,F,FMFF
,8.3,M,F,M
,8.4,F,F,MF
,8.5,M,F,M
,9.1,M,M,MM
,9.2,F,M,FMF
,9.3,F,M,FMFMF
,9.4,M,M,FM
,9.5,F,M,MMFFM
,10.1,F,M,MMFMM
,10.2,F,M,MMMMF
,10.3,M,M,FMF
,10.4,F,M,FM
,10.5,F,M,MFMFM
,11.1,M,M,FMFMM
,11.2,F,M,FFMMM
,11.4,M,M,FFM
,11.5,M,M,FMM
,12.1,F,M,MFFM
,12.2,F,M,FMMF
,12.3,M,M,MMMM
,12.4,F,M,MMF
,12.5,F,M,FMMM
,12.6,F,M, 
,13.1,M,M,MMM
,13.2,M,M,MMMM
,13.3,F,M,MFM
,13.4,M,M,MFF
,13.5,M,M,MMM
,14.1,M,F,MMMM
,14.2,F,F,MMFF
,14.3,F,F,MF
,14.4,M,F,MMM
,14.5,M,F,MM
