epoch,datetime,talk,speaker,questions
1402600734,2014-06-12 12:18:54,strugarek,M,MM
1402601903,2014-06-12 12:38:23,davenport,M,FMMM
1402601906,2014-06-12 12:38:26,James Davenport,M,FMMM
1402601963,2014-06-12 12:39:23,j Davenport,M,FMMM
1402607971,2014-06-12 14:19:31,Germano Sacco,M,MMMF
1402608085,2014-06-12 14:21:25,p testa (solar stellar),F,MMMMM
1402609001,2014-06-12 14:36:41,a shapiro (solar stellar),M,MMM
1402609548,2014-06-12 14:45:48,Elisabetta Rigliaco,F,FFMF
1402609875,2014-06-12 14:51:15,a kowalski (solar stellar ),,FMMM
1402610333,2014-06-12 14:58:53,Carlo Felice Manara,M,FMF
1402610856,2014-06-12 15:07:36,e shkolnik (solar stellar),F,MMMMM
1402611736,2014-06-12 15:22:16,Gaitee Hussain,F,M
1402611901,2014-06-12 15:25:01,c garraffo (solar stellar),F,MMM
1402612493,2014-06-12 15:34:53,A. Dupree,F,MM
1402616068,2014-06-12 16:34:28,s brun (solar stellar),M,MM
1402616321,2014-06-12 16:38:41,Marina Romanova,F,M
1402616863,2014-06-12 16:47:43,s borgniet (solar stellar),M,MMM
1402617093,2014-06-12 16:51:33,Ann Marie Cody,F,MFM
1402617875,2014-06-12 17:04:35,h cegla (solar stellar),F,MMMMM
1402618376,2014-06-12 17:12:56,Nancy Brickhouse,F,MMMM
1402618613,2014-06-12 17:16:53,a vidotto (solar stellar),F,MM
1402619384,2014-06-12 17:29:44,f spada (solar stellar),M,MMM
1402676688,2014-06-13 09:24:48,Germano Sacco, Friday,M,MMMMF
1402676705,2014-06-13 09:25:05, g sacco (for s randich),M,MMMMF
1402678568,2014-06-13 09:56:08,bastien,F,MMMFMFF
1402678568,2014-06-13 09:56:08,f bastien,F,MMMFMFF
1402678569,2014-06-13 09:56:09,Fabienne Bastien,F,MMMFMFF
1402679917,2014-06-13 10:18:37,t boyajian,F,MMFMM
1402679922,2014-06-13 10:18:42,Tabetha Boyajian,F,MMFM
1402679949,2014-06-13 10:19:09,Boyajian,F,MMFMMMMFM
1402685837,2014-06-13 11:57:17,denker,M,MF
1402685839,2014-06-13 11:57:19,Carsten Denker,M,MF
1402685850,2014-06-13 11:57:30,c Denker,M,MF
1402685856,2014-06-13 11:57:36,Carsten Denker,M,MF
1402687233,2014-06-13 12:20:33,j faherty,F,MM
1402687233,2014-06-13 12:20:33,Jacqueline Faherty,F,MM
1402688484,2014-06-13 12:41:24,faherty,F,MM
1402688559,2014-06-13 12:42:39,v joergens,F,FM
1402688562,2014-06-13 12:42:42,Viki Joergens,F,FM
1402688571,2014-06-13 12:42:51,joergens,F,FM
