Talk,Speaker Gender,Questions,Session Type,Splinter,Speaker Type,Nsubmitted,Notes
Laurent Gizon,M,,Plenary,Monday Plenary,Invited,2,
Kraus,M,MM,Plenary,Monday Plenary,Invited,4,
Pascucci,F,FM,Plenary,Monday Plenary,Contributed,3,
Huber,M,MMMM,Plenary,Monday Plenary,Invited,4,
Trent Dupuy,M,FMMM,Plenary,Monday Plenary,Contributed,3,
Ruth Angus,F,FMFM,Plenary,Monday Plenary,Contributed,3,
Kaspar von Braun,M,MFMMM,Splinter,Touchstone Stars,Invited,1,type based on length
Andrew Cameron,M,MF,Splinter,Cool Stars and Space Weather,Invited,1,
J Radigan (cool clouds),F,MM,Splinter,Cool Cloudy Atmospheres,Review,1,
a rajan (cool clouds),M,F,Splinter,Cool Cloudy Atmospheres,,2,Another was submitted as “Rajah” with MF
Jackie Viladsen,F,FM,Splinter,Cool Stars and Space Weather,Contributed,1,
Ed Gillen,M,MF,Splinter,Touchstone Stars,Contributed,1,type based on length
s metchev (cool clouds),M,MFM,Splinter,Cool Cloudy Atmospheres,Invited,2,
a showman (cool clouds),M,MFM,Splinter,Cool Cloudy Atmospheres,Review,2,
Travis Metcalfe,M,MMM,Splinter,Touchstone Stars,Contributed,1,type based on length
