####
# derived from Social Security Administration records
# from 1960 to 2012
# This file contains male-only names
# columns: Male_name, number_of_uses
Abdulwahab,     97.0000000
Abdulwahid,     10.0000000
Abdur,    226.0000000
Abdurahman,    239.0000000
Abdurraheem,      7.0000000
Abdurrahim,     27.0000000
Abdurrahmaan,      5.0000000
Abdurrahman,    575.0000000
Abdurrehman,     22.0000000
Abdussamad,      6.0000000
Abe,   1858.0000000
Abeal,      5.0000000
Abed,    182.0000000
Abedallah,     16.0000000
Abedalrahman,     11.0000000
Abednego,     48.0000000
Abeer,      7.0000000
Abel,  30311.0000000
Abelardo,   2857.0000000
Abelino,    435.0000000
Abell,      5.0000000
Abem,     26.0000000
Aben,      7.0000000
Abenezer,     77.0000000
Aberham,     20.0000000
Abey,     10.0000000
Abhay,    468.0000000
Abheek,      7.0000000
Abhi,    183.0000000
Abhijay,     90.0000000
Abhijeet,     45.0000000
Abhijit,     37.0000000
Abhijot,     19.0000000
Abhik,     10.0000000
Abhilash,     22.0000000
Abhimanyu,    121.0000000
Abhinav,   1417.0000000
Abhinay,      5.0000000
Abhiraj,     43.0000000
Abhiram,    535.0000000
Abhirup,     10.0000000
Abhishek,    739.0000000
Abi,     22.0000000
Abian,      5.0000000
Abid,    280.0000000
Abidan,     10.0000000
Abie,    161.0000000
Abiel,    809.0000000
Abiezer,      7.0000000
Abigael,      5.0000000
Abigail,    570.0000000
Abigayle,      5.0000000
Abijah,    191.0000000
Abilio,      5.0000000
Abimael,    918.0000000
Abimbola,      5.0000000
Abimelec,     43.0000000
Abin,      5.0000000
Abinadab,      5.0000000
Abinadi,     22.0000000
Abinav,     24.0000000
Abiodun,     18.0000000
Abiola,     39.0000000
Abir,    176.0000000
Abiram,     12.0000000
Abisai,    691.0000000
Abishai,    112.0000000
Abishek,     50.0000000
Abiud,      6.0000000
Able,    555.0000000
Abnel,      6.0000000
Abner,   3562.0000000
Abou,     63.0000000
Aboubacar,    235.0000000
Aboubakar,     30.0000000
Abraam,     42.0000000
