####
# derived from Social Security Administration records
# from 1960 to 2012
# This file contains female-only names
# columns: Female_name, number_of_uses
Abbygael,     62.0000000
Abbygail,   2710.0000000
Abbygaile,     39.0000000
Abbygale,    660.0000000
Abbygayl,      6.0000000
Abbygayle,    396.0000000
Abbylynn,     12.0000000
Abcde,    312.0000000
Abdi,     10.0000000
Abeeha,     49.0000000
Abeer,    470.0000000
Abeera,     20.0000000
Abegail,    455.0000000
Abegale,      5.0000000
Abegayle,     23.0000000
Abel,     90.0000000
Abela,      6.0000000
Abelina,    270.0000000
Abella,    342.0000000
Abena,    507.0000000
Abeni,    345.0000000
Aber,      5.0000000
Aberdeen,     42.0000000
Abernathy,     21.0000000
Abery,      7.0000000
Abey,     17.0000000
Abgail,     22.0000000
Abha,     40.0000000
Abhigna,     17.0000000
Abi,    413.0000000
Abia,     57.0000000
Abiageal,    105.0000000
Abiah,     14.0000000
Abianna,      5.0000000
Abibail,      6.0000000
Abida,     24.0000000
Abie,     57.0000000
Abiegail,     15.0000000
Abiel,     18.0000000
Abiela,     15.0000000
Abiella,     16.0000000
Abigael,   1411.0000000
Abigaelle,     55.0000000
Abigahil,     42.0000000
Abigai,      6.0000000
Abigail, 293273.0000000
Abigaile,    517.0000000
Abigailgrace,      5.0000000
Abigaille,     21.0000000
Abigailmarie,      5.0000000
Abigal,    679.0000000
Abigale,   4902.0000000
Abigayil,     21.0000000
Abigayl,    310.0000000
Abigayle,   5360.0000000
Abigeal,     15.0000000
Abigel,     25.0000000
Abigial,    143.0000000
Abiha,     58.0000000
Abihail,     29.0000000
Abijah,     34.0000000
Abilene,    705.0000000
Abilgail,     28.0000000
Abimbola,     79.0000000
Abinaya,     43.0000000
Abiola,    125.0000000
Abiona,     14.0000000
Abir,     92.0000000
Abira,     10.0000000
Abirami,     31.0000000
Abisag,     16.0000000
Abish,     17.0000000
Abisha,     26.0000000
Abishai,     12.0000000
Abisola,     74.0000000
Abiyah,      5.0000000
Abla,     11.0000000
Abney,     10.0000000
Abony,     43.0000000
Abra,    844.0000000
Abrah,     22.0000000
Abraham,    181.0000000
Abranda,      5.0000000
Abrar,    277.0000000
Abraxas,      5.0000000
Abrea,    179.0000000
Abreana,     39.0000000
Abreanna,    245.0000000
Abree,    396.0000000
Abreia,      6.0000000
Abreona,      6.0000000
Abreonna,     10.0000000
Abrey,    110.0000000
Abreya,      5.0000000
Abri,    108.0000000
Abria,    741.0000000
Abriah,     15.0000000
Abrial,    115.0000000
Abrian,      5.0000000
Abriana,   2061.0000000
Abrianna,   3273.0000000
Abriannah,      6.0000000
Abrianne,     15.0000000
Abrie,    181.0000000
Abriel,    543.0000000
Abriela,     29.0000000
Abriele,      5.0000000
Abriella,    691.0000000
Abrielle,   2364.0000000
Abrienne,     10.0000000
Abrigail,     26.0000000
Abril,   6099.0000000
Abrille,     10.0000000
Abrina,    140.0000000
Abriona,     15.0000000
Abrionna,     49.0000000
Abriya,     22.0000000
Abriyah,      6.0000000
Abriyana,      6.0000000
Abryana,    145.0000000
Abryanna,    202.0000000
Abryelle,     25.0000000
Abryl,     14.0000000
Absidy,     17.0000000
Abuk,     24.0000000
Aby,    151.0000000
Abyade,     10.0000000
