####
# derived from Social Security Administration records
# from 1960 to 2012
# This file contains unisex names
# columns: Name, number_of_female_uses,number_of_male_uses
# assign gender via ratio of male/female uses
Albert      604.000      102091.
Alberta      4463.00      25.0000
Alberto      316.000      48619.0
Alby      5.00000      5.00000
Alden      651.000      6389.00
Aldine      11.0000      5.00000
Aldo      10.0000      10589.0
Aldyn      23.0000      45.0000
Alec      331.000      46429.0
Alee      315.000      48.0000
Alejandra      45433.0      518.000
Alejandro      835.000      115227.
Alek      55.0000      3165.00
Aleksa      445.000      45.0000
Aleksei      12.0000      295.000
Aleksey      10.0000      328.000
Aleksi      23.0000      47.0000
Aleksis      68.0000      5.00000
Alesha      7229.00      6.00000
Alex      7554.00      211509.
Alexa      98961.0      227.000
Alexander      4095.00      531090.
Alexandr      301.000      348.000
Alexandra      212050.      851.000
Alexandre      145.000      4150.00
Alexandria      88406.0      214.000
Alexcis      215.000      11.0000
Alexei      100.000      851.000
Alexes      699.000      139.000
Alexey      19.0000      266.000
Alexi      3580.00      1393.00
Alexia      37095.0      44.0000
Alexie      1362.00      249.000
Alexis      315910.      56914.0
Alexiss      515.000      20.0000
Alexius      1473.00      112.000
Alexix      37.0000      5.00000
Alexiz      265.000      238.000
Alexsis      1248.00      190.000
Alexus      17971.0      237.000
Alexx      184.000      325.000
Alexxis      1105.00      6.00000
Alexy      326.000      279.000
Alexys      3874.00      351.000
Aley      33.0000      6.00000
Alfa      47.0000      5.00000
Alfie      76.0000      472.000
Alfonso      69.0000      22974.0
Alfred      317.000      44921.0
Alfreda      2913.00      12.0000
Alfredo      245.000      40063.0
Ali      8820.00      20313.0
Alice      66520.0      197.000
Alicia      199037.      640.000
Alie      388.000      55.0000
Alija      36.0000      55.0000
Alijah      916.000      5909.00
Alijha      11.0000      33.0000
Alika      430.000      515.000
Alin      328.000      112.000
Alique      5.00000      5.00000
Alis      253.000      5.00000
Alisa      29962.0      22.0000
Alisha      53656.0      131.000
Alishah      66.0000      6.00000
Alison      97979.0      441.000
Alissa      35764.0      31.0000
Alivia      18805.0      10.0000
Alix      2835.00      816.000
Aliyah      27352.0      28.0000
Aliyan      6.00000      12.0000
Aliza      6645.00      5.00000
Alizae      681.000      5.00000
Alizah      579.000      5.00000
Alizay      561.000      5.00000
Alize      4500.00      317.000
Alla      293.000      10.0000
Allan      120.000      34296.0
Allante      131.000      428.000
Allen      721.000      113624.
Allex      71.0000      162.000
Alli      3107.00      5.00000
Allie      24270.0      413.000
Allison      264053.      1274.00
Ally      7451.00      10.0000
Allyn      1124.00      1206.00
Allyson      44969.0      21.0000
Alma      29083.0      605.000
Alon      24.0000      844.000
Alondra      33078.0      116.000
Alonte      6.00000      374.000
Alonza      6.00000      1100.00
Alonzo      102.000      21424.0
Alpha      533.000      982.000
Alphonso      21.0000      6952.00
Alston      16.0000      1404.00
Altair      55.0000      41.0000
Alton      55.0000      13002.0
Altonia      5.00000      7.00000
Alva      1445.00      1089.00
Alvaro      5.00000      12310.0
Alvia      70.0000      11.0000
Alvin      317.000      43116.0
Alvis      10.0000      1065.00
Aly      761.000      469.000
Alyjah      37.0000      203.000
Alyn      338.000      114.000
