1438808802,2015-08-05 14:06:42,FM8.5.01,M,M,MMM, ;
1438809213,2015-08-05 14:13:33,FM22.5.02,F,M,F F M M, ;
1438809404,2015-08-05 14:16:44,FM13.1.02,M,M,MMM, ;
1438810474,2015-08-05 14:34:34,FM22.5.03,F,M,M M, ;
1438810589,2015-08-05 14:36:29,FM8.5.02,M,F,MM,more questions, but had to move on ;
1438810629,2015-08-05 14:37:09,FM13.1.03,M,M,MM, ;
1438811664,2015-08-05 14:54:24,FM22.5.04,F,M,M M, ;
1438812094,2015-08-05 15:01:34,FM13.1.04,M,M,MF,last Q asked by chair ;
1438812923,2015-08-05 15:15:23,FM22.5.05,F,F,M F, ;
1438813656,2015-08-05 15:27:36,FM8.5.05,M,F,MMM, ;
1438813685,2015-08-05 15:28:05,FM13.1.05,M,F,MMMMFM, ;
1438813859,2015-08-05 15:30:59,FM22.5.04,F,M,MM, ;
1438813940,2015-08-05 15:32:20,FM22.5.06,F,M,M, ;
1438813948,2015-08-05 15:32:28,FM22.5.06,F,M,M , ;
1438814545,2015-08-05 15:42:25,FM8.5.06,M,F,MMF, ;
1438814673,2015-08-05 15:44:33,FM8.5.06,M,F,MMFM, ;
1438814685,2015-08-05 15:44:45,FM13.1.06,M,M,M, ;
1438819812,2015-08-05 17:10:12,FM16.5,M,M,MMMMMMMMMMMMMMFF, ;
1438820230,2015-08-05 17:17:10,FM22.6.01,M,M,MF, ;
1438821161,2015-08-05 17:32:41,FM13.2.01,M,F,MMM, ;
1438821179,2015-08-05 17:32:59,FM3.2.01,F,F,MMMMF, ;
1438821256,2015-08-05 17:34:16,FM22.6.02,M,M,MM, ;
1438822173,2015-08-05 17:49:33,FM22.6.03,M,M,FM, ;
1438822231,2015-08-05 17:50:31,FM13.2.02,M,M,MMMM, ;
1438822736,2015-08-05 17:58:56,FM16.6.01,M,M,MMMM,17/55 audience members apear female  ;
1438822753,2015-08-05 17:59:13,FM16.6.02,M,M,MMMF,17/55 audience members apear female  ;
1438822816,2015-08-05 18:00:16,FM3.2.02,F,F,MFFF, ;
1438823072,2015-08-05 18:04:32,FM13.2.03,M,F,MMMM, ;
1438823270,2015-08-05 18:07:50,FM22.6.04,M,M,M, ;
1438823820,2015-08-05 18:17:00,FM13.2.04,M,M,MMM, ;
1438824104,2015-08-05 18:21:44,FM16.6.03,M,M,MMM,About 17/55 audience members appear female  ;
