1420498057,2015-01-05 14:47:37,K. Hiranaka,F,MMMMM, ;
1420498077,2015-01-05 14:47:57,130.4,F,MMMM,There was also some impromptu discussion including 2 F  ;
1420498179,2015-01-05 14:49:39,122.04,M,FM, ;
1420498215,2015-01-05 14:50:15,121.05,M,MMM,Attendance at SN II session about 60 ;
1420498262,2015-01-05 14:51:02,119.04,M,MM, ;
1420498299,2015-01-05 14:51:39,126.08,M,M, ;
1420498375,2015-01-05 14:52:55,124.03,M,MMMMM,One talk was cancelled and the floor was opened for any questions, so there were questions allowed from the whole session included in my tally for this talk. ;
1420498571,2015-01-05 14:56:11,131.05,F,MMF, ;
1420498785,2015-01-05 14:59:45,130.5,F,FMMM, ;
1420498794,2015-01-05 14:59:54,130.05,F,FMMM,2nd Q from session chair ;
1420498797,2015-01-05 14:59:57,J. Faherty,F,FMM,Everyone had to walk to the mike in this session, but last 2 questioners here called their questions out ;
1420498857,2015-01-05 15:00:57,122.05,M,M, ;
1420498960,2015-01-05 15:02:40,119.05,M,M, ;
1420499044,2015-01-05 15:04:04,126.01,F,M, ;
1420499094,2015-01-05 15:04:54,131.06,F,FM, ;
1420499205,2015-01-05 15:06:45,129.05,F,FMM, ;
1420499477,2015-01-05 15:11:17,J. Radigan,F,MFM,Qs now being called out by men, women using stand mike ;
1420499478,2015-01-05 15:11:18,130.6,F,MFMM, ;
1420499478,2015-01-05 15:11:18,130.06,F,MFMM, ;
1420499628,2015-01-05 15:13:48,119.07,F,MMM, ;
1420499652,2015-01-05 15:14:12,126.03,M,M, ;
1420499685,2015-01-05 15:14:45,121.07,M,MM, ;
1420499844,2015-01-05 15:17:24,Mon 2:15pm press conference,,MFMMMMF,Presenters were 3 men, 2 women. Questions solicited at end only. Final question was fielded from the web and read by Rick Feinberg. ;
1420499915,2015-01-05 15:18:35,124.06,F,MF, ;
1420499916,2015-01-05 15:18:36,124.06,F,MF, ;
1420500084,2015-01-05 15:21:24,126.07,F,,No questions ;
1420500195,2015-01-05 15:23:15,130.6,M,FFM, ;
1420500196,2015-01-05 15:23:16,A. Heinze,M,FFM,Women used stand mike, man called his Q out from his seat ;
1420500560,2015-01-05 15:29:20,124.07,M,MMFM, ;
1420500678,2015-01-05 15:31:18,132.04,F,MMFM, ;
1420500766,2015-01-05 15:32:46,126.04,M,M,Chair = speaker.  ;
1420504517,2015-01-05 16:35:17,134.01,M,MMMMM, ;
1420506200,2015-01-05 17:03:20,122.01D,F,FMM, ;
1420506214,2015-01-05 17:03:34,122.02,M,FM, ;
1420506224,2015-01-05 17:03:44,122.03,M,MM, ;
1420506241,2015-01-05 17:04:01,122.04,M,FM, ;
1420506255,2015-01-05 17:04:15,122.05,M,MM, ;
1420506270,2015-01-05 17:04:30,122.06,M,MFM, ;
1420506282,2015-01-05 17:04:42,122.07,F,MMMM, ;
1420506298,2015-01-05 17:04:58,122.07,M,MM, ;
1420508062,2015-01-05 17:34:22,135.01,F,MMMFM, ;
1420568363,2015-01-06 10:19:23,207.01,F,MFM, ;
1420568384,2015-01-06 10:19:44,207.01,F,MFMM, ;
1420568387,2015-01-06 10:19:47,,,, ;
1420568501,2015-01-06 10:21:41,202.2,M,MMM,third question was actually a comment, and the chair asked the commenter a question... all dudes.  ;
1420569083,2015-01-06 10:31:23,210.02D,F,MFMM, ;
1420569578,2015-01-06 10:39:38,207.02,M,MMFM, ;
1420569609,2015-01-06 10:40:09,202.3,M,MMM, ;
1420570152,2015-01-06 10:49:12,216.04,M,FM, ;
1420570169,2015-01-06 10:49:29,207.03,F,FMMM, ;
1420570311,2015-01-06 10:51:51,202.4,M,MMM,second question was answered by another dude audience member ;
1420570314,2015-01-06 10:51:54,202.04,M,MMM, ;
1420570321,2015-01-06 10:52:01,202.04,M,MMM, ;
1420570879,2015-01-06 11:01:19,207.04,M,FM, ;
1420570914,2015-01-06 11:01:54,202.05,M,MMMF, ;
1420570919,2015-01-06 11:01:59,202.05,M,MMMF, ;
1420571453,2015-01-06 11:10:53,202.06,F,MM, ;
1420571467,2015-01-06 11:11:07,202.06,M,MM, ;
1420572671,2015-01-06 11:31:11,202.08,M,,No questions. ;
1420572816,2015-01-06 11:33:36,205.07,F,FMM,(3rd questioner/2nd M is session chair) ;
1420572886,2015-01-06 11:34:46,205.06D,M,MMMF,(3rd questioner/3rd M is session chair) ;
1420572925,2015-01-06 11:35:25,205.04,F,FMMMM, ;
1420572959,2015-01-06 11:35:59,216.02D,M,MMMM, ;
1420573003,2015-01-06 11:36:43,216.01,F,MMMM,(4th questioner/4th M is session chair) ;
1420576095,2015-01-06 12:28:15,Levesque,F,MF, ;
1420576176,2015-01-06 12:29:36,217.01,F,MF,E. Levesque, Cannon award plenary ;
1420582769,2015-01-06 14:19:29,Dylan Morgan,M,FM,Floating mic ;
1420583360,2015-01-06 14:29:20,Guinan,M,FM,Floating mic ;
1420583887,2015-01-06 14:38:07,Buzasi,M,FM,Floating mic ;
1420584427,2015-01-06 14:47:07,Bastien,F,FM,Floating mic ;
1420584690,2015-01-06 14:51:30,227.04,M,MMMMMFFM, ;
1420584991,2015-01-06 14:56:31,Lurie,M,MM,Floating mic ;
1420584994,2015-01-06 14:56:34,231.05,M,MFM, ;
1420585232,2015-01-06 15:00:32,227.05,M,MM, ;
1420585271,2015-01-06 15:01:11,Tue 2pm Code Licensing,,FMMMMM,Two Ms was the same person who sat down and got back up
Panel is 4 men and 1 woman
I left early ;
1420585337,2015-01-06 15:02:17,231.06,F,MM, ;
1420585759,2015-01-06 15:09:19,227.06,M,FM, ;
1420585878,2015-01-06 15:11:18,231.07,M,MM, ;
1420585973,2015-01-06 15:12:53,226 Tech Industry Careers: AAS Employment Committee Panel Discussion,M,FFMFM,Two male speakers and a male chair. I left with about 30 minutes left in the Q/A so these results are not full.  ;
1420586145,2015-01-06 15:15:45,Davenport,M,FMFMM,Floating mic ;
1420586146,2015-01-06 15:15:46,It's you!,M,FMFMM,Good job!! ;
1420586301,2015-01-06 15:18:21,227.08,F,MFMMF, ;
1420586799,2015-01-06 15:26:39,Vishniac,M,M,Floating mic ;
1420590492,2015-01-06 16:28:12,207.01D,F,FMM, ;
1420590503,2015-01-06 16:28:23,207.02D,M,FMFM, ;
1420590516,2015-01-06 16:28:36,207.03,F,FMM, ;
1420590527,2015-01-06 16:28:47,207.04,M,FM, ;
1420590538,2015-01-06 16:28:58,207.05,M,FM, ;
1420590544,2015-01-06 16:29:04,207.06,M,MFF, ;
1420590555,2015-01-06 16:29:15,207.07,F,FFM, ;
1420624565,2015-01-07 01:56:05,133.07,M,, ;
1420651180,2015-01-07 09:19:40,Poppenhaeger,F,MMM, ;
1420654471,2015-01-07 10:14:31,302.01,M,M, ;
1420654834,2015-01-07 10:20:34,Joe Llama,M,MMFMM, ;
1420655159,2015-01-07 10:25:59,306.01,M,MMFMM, ;
1420655196,2015-01-07 10:26:36,306.01,M,MMFMM, ;
1420655459,2015-01-07 10:30:59,302.02,F,M, ;
1420655819,2015-01-07 10:36:59,303.04,M,M, ;
1420656025,2015-01-07 10:40:25,306.02,F,MMMMMM, ;
1420656036,2015-01-07 10:40:36,306.02,F,MMMMMM, ;
1420656276,2015-01-07 10:44:36,302.03,M,M, ;
1420656633,2015-01-07 10:50:33,310.05,,, ;
1420656699,2015-01-07 10:51:39,310.05,,FFM, ;
1420656763,2015-01-07 10:52:43,306.03,M,MMM, ;
1420657046,2015-01-07 10:57:26,302.04,M,F, ;
1420657243,2015-01-07 11:00:43,310.06,M,FFM, ;
1420657328,2015-01-07 11:02:08,306.05,M,MMF, ;
1420657770,2015-01-07 11:09:30,310.07,M,M,Comment from session chair. ;
1420657870,2015-01-07 11:11:10,303.06,F,MMM, ;
1420657889,2015-01-07 11:11:29,302.05,M,M, ;
1420658013,2015-01-07 11:13:33,306.06,M,FFM, ;
1420658259,2015-01-07 11:17:39,310.09,M,M, ;
1420658409,2015-01-07 11:20:09,303.07,M,MMM, ;
1420658488,2015-01-07 11:21:28,306.07,M,MMMM, ;
1420658654,2015-01-07 11:24:14,302.06,M,MMM, ;
1420658758,2015-01-07 11:25:58,310.02,M,MM,Late arrival.  ;
1420658872,2015-01-07 11:27:52,303.08,F,FMM, ;
1420659230,2015-01-07 11:33:50,304.02D,F,FMM,(follow up discussion to 3rd questioner / 2nd M's question also involved 1st questioner (F)) ;
1420659256,2015-01-07 11:34:16,304.03D,F,MMM,2nd questioner (2nd M) is session chair ;
1420659288,2015-01-07 11:34:48,304.04,M,FMM, ;
1420659381,2015-01-07 11:36:21,303.09,M,MMM, ;
1420659417,2015-01-07 11:36:57,302.07,F,MFMMMM, ;
1420659425,2015-01-07 11:37:05,315,,MMFFMMFMMFMFM,Panel is four men and two women ;
1420668800,2015-01-07 14:13:20,329.01,M,M, ;
1420669014,2015-01-07 14:16:54,319.01,M,MMMMM, ;
