2015-01-05,102.01,F,,M
2015-01-05,102.02,F,,M
2015-01-05,102.03,M,,MM
2015-01-05,102.05,F,,MM
2015-01-05,102.06,M,,MMM
2015-01-05,102.07,F,,FM
2015-01-05,105.01,M,,MMFF
2015-01-05,105.02,M,,M
2015-01-05,105.03,F,,
2015-01-05,105.04,M,,MMM
2015-01-05,105.05,M,,M
2015-01-05,105.06,M,,MM
2015-01-05,105.07,M,,F
2015-01-05,105.08,F,,FM
2015-01-05,107.04,M,,MMFM
2015-01-05,107.05,M,,MM
2015-01-05,107.06,M,,MM
2015-01-05,111.01,F,,FM
2015-01-05,111.02,F,,MM
2015-01-05,111.03,M,,MFMFM
2015-01-05,111.04,M,,FMFM
2015-01-05,111.05,M,,MFFMF
2015-01-05,111.06,M,,MMFM
2015-01-05,112.01,M,,MMM
2015-01-05,112.02,F,,MMMMMM
2015-01-05,112.03,M,,MMMMMMM
2015-01-05,112.04,F,,MMMMF
2015-01-05,112.05,M,,MMMMM
2015-01-05,112.06,M,,FMMM
2015-01-05,112.07,M,,MM
2015-01-05,113.04,M,,MMMMM
2015-01-05,113.05,M,,MMM
2015-01-05,113.06,M,,MM
2015-01-05,113.07,M,,MM
2015-01-05,113.08,M,,MM
2015-01-05,119.01,F,,MMM
2015-01-05,119.02,F,,FMM
2015-01-05,119.03,F,,FFM
2015-01-05,119.04,M,,MM
2015-01-05,119.05,M,,M
2015-01-05,119.07,F,,MMM
2015-01-05,120.03,F,,M
2015-01-05,121.04,F,,
2015-01-05,121.05,M,,MMM
2015-01-05,121.07,M,,MM
2015-01-05,122.01,F,,FMM
2015-01-05,122.02,M,,FM
2015-01-05,122.03,M,,MM
2015-01-05,122.04,M,,FM
2015-01-05,122.05,M,,MM
2015-01-05,122.06,M,,MFM
2015-01-05,122.07,M,,MM
2015-01-05,124.01,M,,MF
2015-01-05,124.02,F,,MFFF
2015-01-05,124.03,M,,MMMMM
2015-01-05,124.06,F,,MF
2015-01-05,124.07,M,,MMFM
2015-01-05,126.01,F,,M
2015-01-05,126.03,M,,M
2015-01-05,126.04,M,,M
2015-01-05,126.05,M,,F
2015-01-05,126.07,F,,
2015-01-05,126.08,M,,M
2015-01-08,129.01,F,,MMM
2015-01-08,129.02,F,,MMMM
2015-01-08,129.03,F,,FMM
2015-01-05,129.04,M,,MM
2015-01-05,129.05,F,,FMM
2015-01-05,130.01,M,,MMM
2015-01-05,130.02,F,,FF
2015-01-05,130.03,M,,M
2015-01-05,130.04,F,,MMMM
2015-01-05,130.05,F,,FMMM
2015-01-05,130.06,F,,MFMM
2015-01-05,130.07,M,,FFM
2015-01-05,131.03,F,,MMMM
2015-01-05,131.04,F,,FFF
2015-01-05,131.05,F,,MMF
2015-01-05,131.06,F,,FM
2015-01-05,132.03,F,,MM
2015-01-05,132.04,F,,MMFM
2015-01-07,133.07,M,,
2015-01-05,134.01,M,,MMMMM
2015-01-05,135.01,F,,MMMFM
2015-01-06,202.02,M,,MMM
2015-01-06,202.03,M,,MMM
2015-01-06,202.04,M,,MMM
2015-01-06,202.05,M,,MMMF
2015-01-06,202.06,M,,MM
2015-01-06,202.08,M,,
2015-01-06,205.04,F,,FMMMM
2015-01-06,205.06,M,,MMMF
2015-01-06,205.07,F,,FMM
2015-01-06,207.01,F,,MFM
2015-01-06,207.02,M,,FMFM
2015-01-06,207.03,F,,FMMM
2015-01-06,207.04,M,,FM
2015-01-06,207.05,M,,FM
2015-01-06,207.06,M,,MFF
2015-01-06,207.07,F,,FFM
