1483629777,2017-01-05 07:22:57,Martin Aube ,M,M,F:Q,M:C,M:Q,,Third questioner had a bit of back and forth.  ;
1483632442,2017-01-05 08:07:22,207.01,F,F,M:Q,M:Q,M:Q,, ;
1483632642,2017-01-05 08:10:42,213.01,M,F,M:Q,M:C,, ;
1483632714,2017-01-05 08:11:54,207.01,F,F,M:Q,M:Q,M:Q,, ;
1483632742,2017-01-05 08:12:22,Renyu Hu,M,M,M:Q,, ;
1483633033,2017-01-05 08:17:13,207.02,F,M,M:Q,M:Q,M:Q,M:Q,, ;
1483633177,2017-01-05 08:19:37,214.01,F,F,M:Q,, ;
1483633327,2017-01-05 08:22:07,202.02,M,F,M:Q,M:Q,F:Q,,Chair is doing a bit poorly at time management  ;
1483633404,2017-01-05 08:23:24,Diana Powell,M,F,M:Q,M:Q,F:Q,, ;
1483633635,2017-01-05 08:27:15,214.02,F,F,M:Q,, ;
1483633694,2017-01-05 08:28:14,207.03,F,M,M:Q,M:Q,M:Q,, ;
1483633928,2017-01-05 08:32:08,202.03,M,M,F:Q,M:Q,, ;
1483633941,2017-01-05 08:32:21,209.01,F,M,F:Q,, ;
1483633971,2017-01-05 08:32:51,209.02,F,F,M:Q,M:Q,, ;
1483634055,2017-01-05 08:34:15,212.01,M,F,M:Q,M:Q,M:Q,, ;
1483634082,2017-01-05 08:34:42,212.02,M,M,M:Q,M:Q, ;
1483634159,2017-01-05 08:35:59,207.04,F,F,M:Q,M:Q,F:Q,F:Q,, ;
1483634315,2017-01-05 08:38:35,212.03,M,M,M:Q,M:Q,M:Q,, ;
1483634635,2017-01-05 08:43:55,209.3,F,M,F:Q,,Question from chair ;
1483634737,2017-01-05 08:45:37,Kimberly Cartier,M,F,F:Q,, ;
1483634822,2017-01-05 08:47:02,207.05,F,M,M:Q,M:Q,, ;
1483634932,2017-01-05 08:48:52,202.04D,M,F,F:Q,M:Q,M:Q,, ;
1483634945,2017-01-05 08:49:05,214.03,F,F,M:Q,M:Q,M:Q,F:Q,, ;
1483635039,2017-01-05 08:50:39,212.04,M,F,M:Q,, ;
1483635409,2017-01-05 08:56:49,209.4,F,F,F:Q,,Question from chair ;
1483635513,2017-01-05 08:58:33,214.04,F,M,M:Q,M:Q,F:Q,, ;
1483635694,2017-01-05 09:01:34,212.05,M,M,F:Q,F:Q,M:Q,M:Q,, ;
1483635760,2017-01-05 09:02:40,212.01,M,F,M:Q,M:Q,M:Q,,session chair's introduction to session (and admonition to stick to time) went a few minutes into speaker's time; she still finished on time though ;
1483635828,2017-01-05 09:03:48,Abigail Stvens,F,F,M:Q,M:Q,M:Q,, ;
1483636108,2017-01-05 09:08:28,216.06,F,M,M:Q,F:Q,, ;
1483636195,2017-01-05 09:09:55,209.5,F,M,M:Q,, ;
1483636476,2017-01-05 09:14:36,207.07,F,F,M:Q,M:Q,M:Q,, ;
1483636786,2017-01-05 09:19:46,216.07,F,M,F:Q,, ;
1483636812,2017-01-05 09:20:12,212.06D,M,M,M:Q,M:Q,F:Q,, ;
1483636998,2017-01-05 09:23:18,209.5,,,M:Q,, ;
1483637165,2017-01-05 09:26:05,202.07D,M,F,F:Q,, ;
1483637326,2017-01-05 09:28:46,207.08,F,M,M:Q,M:Q,F:Q,F:Q,,The female chair asked one of the questions. ;
